XX,SLOPE,INTERCEPT
AL,0.000000,0.142900
AK,0.000000,0.000000
AZ,1.522881,-0.212675
AR,0.000000,0.000000
CA,1.510266,-0.148895
CO,2.327914,-0.715856
CT,0.000000,1.000000
DE,0.000000,1.000000
FL,1.865269,-0.471942
GA,2.380822,-0.748624
HI,0.000000,1.000000
ID,0.000000,0.000000
IL,1.840104,-0.374236
IN,0.000000,0.222200
IA,6.534726,-2.762546
KS,2.739102,-0.957512
KY,0.000000,0.166700
LA,0.000000,0.166700
ME,5.668150,-2.449890
MD,0.000000,0.875000
MA,0.000000,1.000000
MI,2.394763,-0.809236
MN,1.343409,-0.132614
MS,0.000000,0.250000
MO,0.000000,0.250000
MT,0.000000,0.000000
NE,-7.418381,2.753004
NV,4.391828,-1.552699
NH,5.812464,-2.178746
NJ,4.676613,-1.947941
NM,4.954526,-2.035824
NY,1.175309,-0.023644
NC,1.358581,-0.380858
ND,0.000000,0.000000
OH,0.000000,0.250000
OK,2.139252,-0.632495
OR,0.000000,0.800000
PA,2.161272,-0.696061
RI,0.000000,1.000000
SC,2.027051,-0.675523
SD,0.000000,0.000000
TN,0.000000,0.222200
TX,0.886289,-0.054500
UT,1.400562,-0.391569
VT,0.000000,1.000000
VA,4.173272,-1.669640
WA,1.160626,-0.017494
WV,0.786657,-0.232270
WI,0.000000,0.375000
WY,0.000000,0.000000
