STATE,XX,REP_V,DEM_V,OTH_V,TOT_V
Alabama,AL,16603,62428,-27218,51813
Alabama,AL,0,71877,-2007,69870
Alabama,AL,0,87981,-4076,83905
Alaska,AK,0,0,0,0
Arizona,AZ,0,0,0,0
Arkansas,AR,0,0,0,0
California,CA,0,58277,0,58277
California,CA,0,74353,-2173,72180
Colorado,CO,0,0,0,0
Connecticut,CT,0,0,0,0
Delaware,DE,0,0,0,0
Florida,FL,0,73209,-42705,30504
Florida,FL,0,76388,-52607,23781
Florida,FL,0,76864,-71632,5232
Florida,FL,64480,44093,-17009,91564
Florida,FL,150454,64480,0,214934
Georgia,GA,0,84900,-188,84712
Georgia,GA,0,74362,0,74362
Georgia,GA,0,70078,0,70078
Hawaii,HI,0,0,0,0
Idaho,ID,0,0,0,0
Illinois,IL,0,0,0,0
Indiana,IN,0,0,0,0
Iowa,IA,0,0,0,0
Kansas,KS,0,0,0,0
Kentucky,KY,0,0,0,0
Louisiana,LA,1256,52838,-33279,20815
Louisiana,LA,123289,52838,0,176127
Maine,ME,0,0,0,0
Maryland,MD,0,0,0,0
Massachusetts,MA,69553,27317,-2686,94184
Michigan,MI,0,0,0,0
Minnesota,MN,0,0,0,0
Mississippi,MS,0,0,0,0
Missouri,MO,0,69739,-47634,22105
Montana,MT,0,0,0,0
Nebraska,NE,0,0,0,0
Nevada,NV,0,0,0,0
New Hampshire,NH,0,0,0,0
New Jersey,NJ,0,0,0,0
New Mexico,NM,0,0,0,0
New York,NY,49410,46665,-18129,77946
New York,NY,22122,115288,-116978,20432
North Carolina,NC,0,0,0,0
North Dakota,ND,0,0,0,0
Ohio,OH,0,0,0,0
Oklahoma,OK,0,64788,-45656,19132
Oklahoma,OK,139102,59615,0,198717
Oregon,OR,0,0,0,0
Pennsylvania,PA,64262,0,0,64262
Rhode Island,RI,0,0,0,0
South Carolina,SC,0,0,0,0
South Dakota,SD,0,0,0,0
Tennessee,TN,0,0,0,0
Texas,TX,0,55456,-14811,40645
Texas,TX,0,55723,-16711,39012
Texas,TX,0,61566,-32723,28843
Texas,TX,0,48515,-16842,31673
Texas,TX,4179,44682,-22609,26252
Texas,TX,0,54165,-26735,27430
Utah,UT,0,0,0,0
Vermont,VT,0,0,0,0
Virginia,VA,14101,60681,-39667,35115
Washington,WA,99707,0,-47741,51966
West Virginia,WV,0,0,0,0
Wisconsin,WI,0,0,0,0
Wyoming,WY,0,0,0,0
