YEAR,STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S,VOTE_%,SEAT_%
2000,Alabama,AL,934906,707315,14801,1657022,5,2,0,7,0.430706,0.285714
2000,Alaska,AK,190862,45372,38159,274393,1,0,0,1,0.192064,0.000000
2000,Arizona,AZ,854715,557849,53092,1465656,5,1,0,6,0.394919,0.166667
2000,Arkansas,AR,424791,418642,253,843686,1,3,0,4,0.496355,0.750000
2000,California,CA,4572309,5633395,454010,10659714,20,32,0,52,0.551985,0.615385
2000,Colorado,CO,968651,694220,52279,1715150,4,2,0,6,0.417483,0.333333
2000,Connecticut,CT,590689,699237,23564,1313490,3,3,0,6,0.542075,0.500000
2000,Delaware,DE,211797,96488,4841,313126,1,0,0,1,0.312983,0.000000
2000,Florida,FL,3195637,2673139,19174,5887950,15,8,0,23,0.455485,0.347826
2000,Georgia,GA,1498337,1003650,200,2502187,8,3,0,11,0.401141,0.272727
2000,Hawaiʻi,HI,110895,221373,8156,340424,0,2,0,2,0.666248,1.000000
2000,Idaho,ID,332655,142345,17835,492835,2,0,0,2,0.299674,0.000000
2000,Illinois,IL,2125102,2547006,53,4672161,10,10,0,20,0.545151,0.500000
2000,Indiana,IN,1140554,953167,63023,2156744,6,4,0,10,0.455250,0.400000
2000,Iowa,IA,717322,531642,26970,1275934,4,1,0,5,0.425666,0.200000
2000,Kansas,KS,655822,328194,51945,1035961,3,1,0,4,0.333525,0.250000
2000,Kentucky,KY,824915,653607,23161,1501683,5,1,0,6,0.442068,0.166667
2000,Louisiana,LA,877834,568349,64701,1470370,5,2,0,7,0.392999,0.285714
2000,Maine,ME,203437,422606,12356,638399,0,2,0,2,0.675043,1.000000
2000,Maryland,MD,856306,1060934,9524,1926764,4,4,0,8,0.553365,0.500000
2000,Massachusetts,MA,697357,2028305,172716,2898378,0,10,0,10,0.744151,1.000000
2000,Michigan,MI,1786980,2177618,105062,4069660,7,9,0,16,0.549266,0.562500
2000,Minnesota,MN,993371,1234204,136163,2363738,3,5,0,8,0.554057,0.625000
2000,Mississippi,MS,468483,495687,21969,986139,2,3,0,5,0.514107,0.600000
2000,Missouri,MO,1135724,1136020,54044,2325788,5,4,0,9,0.500065,0.444444
2000,Montana,MT,211418,189971,9132,410521,1,0,0,1,0.473284,0.000000
2000,Nebraska,NE,486513,178071,18487,683071,3,0,0,3,0.267944,0.000000
2000,Nevada,NV,330884,224848,30921,586653,1,1,0,2,0.404598,0.500000
2000,New Hampshire,NH,303190,238754,14105,556049,2,0,0,2,0.440551,0.000000
2000,New Jersey,NJ,1384170,1532240,71823,2988233,6,7,0,13,0.525386,0.538462
2000,New Mexico,NM,274017,299841,13656,587514,2,1,0,3,0.522500,0.333333
2000,New York,NY,2303192,3092545,1603086,6998823,12,19,0,31,0.573146,0.612903
2000,North Carolina,NC,1514806,1351407,38670,2904883,7,5,0,12,0.471496,0.416667
2000,North Dakota,ND,127251,151173,7234,285658,0,1,0,1,0.542960,1.000000
2000,Ohio,OH,2311633,2098854,214205,4624692,11,8,0,19,0.475878,0.421053
2000,Oklahoma,OK,701820,396023,27350,1125193,5,1,0,6,0.360728,0.166667
2000,Oregon,OR,607098,790365,42539,1440002,1,4,0,5,0.565571,0.800000
2000,Pennsylvania,PA,2385929,2438013,15176,4839118,11,10,0,21,0.505398,0.476190
2000,Rhode Island,RI,89454,247247,47571,384272,0,2,0,2,0.734322,1.000000
2000,South Carolina,SC,737883,591076,29753,1358712,4,2,0,6,0.444766,0.333333
2000,South Dakota,SD,231083,78321,5357,314761,1,0,0,1,0.253135,0.000000
2000,Tennessee,TN,915871,1123716,20907,2060494,5,4,0,9,0.550953,0.444444
2000,Texas,TX,3339318,3204314,80237,6623869,13,17,0,30,0.489684,0.566667
2000,Utah,UT,426648,304797,27309,758754,2,1,0,3,0.416705,0.333333
2000,Vermont,VT,51977,14918,216471,283366,0,0,1,1,,
2000,Virginia,VA,1295849,1261158,177947,2734954,6,4,1,11,0.493216,0.400000
2000,Washington,WA,1080793,1245872,66323,2392988,3,6,0,9,0.535475,0.666667
2000,West Virginia,WV,249338,430997,12543,692878,1,2,0,3,0.633507,0.666667
2000,Wisconsin,WI,1311447,1187866,7001,2506314,4,5,0,9,0.475277,0.555556
2000,Wyoming,WY,141848,60638,9826,212312,1,0,0,1,0.299468,0.000000
